사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2022-04,1호선,0150,서울역,614,13,8437,5992,11117,39884,36446,89690,59887,183383,45821,119576,45901,63394,55062,54227,60991,58207,65051,59174,54049,54036,73137,58357,83978,60497,125815,71787,177631,78619,88591,51420,62407,34412,66272,30243,44170,22270,16553,13335,99,1246,1,0,0,0,0,0
2022-04,1호선,0151,시청,113,2,1846,4740,2977,19406,6416,60192,8087,172361,8195,75383,9789,33183,14433,32023,16714,28830,21194,29097,27426,25541,37179,21053,44697,17806,74859,18281,138249,18578,48858,8548,39892,5209,38465,4714,24871,3427,7878,2667,48,313,1,2,1,0,0,0
2022-04,1호선,0152,종각,51,2,2642,4002,3184,22588,5394,90856,9040,210745,10396,114980,14536,49465,22134,45520,26580,40657,33541,40717,41021,34641,52872,30066,61500,30414,114638,36029,175221,42101,73992,22614,66377,10077,75103,6599,59817,4538,26324,3119,217,333,0,0,0,0,0,0
2022-04,1호선,0153,종로3가,129,16,3041,2913,3011,12611,4539,24627,7750,66275,12153,64464,18122,54827,30100,57305,36930,56761,44093,56580,51593,50829,60054,41975,65741,36800,75498,34808,92231,36294,55480,19303,44652,8980,46546,6441,37922,4739,16865,4051,195,948,1,1,0,0,0,0
2022-04,1호선,0154,종로5가,21,1,1648,3748,2470,15427,4955,40016,8050,93914,11049,58330,18312,50471,26867,51360,35050,49999,41857,47337,50112,44238,54731,38002,58670,32601,74921,29481,91669,27809,47879,15268,33127,6475,30845,5166,19357,3504,6088,2286,73,684,0,0,0,0,0,0
2022-04,1호선,0155,동대문,812,15,11003,1903,8733,6709,14349,11903,18644,22388,16383,21407,15308,21119,17010,22907,20329,22415,22365,21415,24169,20904,24225,19671,24739,18248,24836,18072,23501,18617,16703,18341,13628,12679,12565,10202,10798,8940,4384,8253,24,1688,0,0,0,0,0,0
2022-04,1호선,0156,신설동,296,16,8113,2455,8037,10747,17594,23623,25283,58536,17379,31263,15577,21022,17250,17684,18891,18317,21218,18077,21231,17246,23153,17576,29911,18667,37774,21136,53177,25530,20237,18282,13506,12058,12173,11251,9011,10137,3287,8533,70,1588,0,1,0,0,0,0
2022-04,1호선,0157,제기동,290,1,4747,1975,8202,7578,21074,18199,29902,38950,21726,32584,24726,37191,32960,43833,38852,45227,40090,47391,43148,44705,46672,37513,44959,30786,41985,26177,38655,25529,17926,17153,11251,10933,7833,10098,5323,9410,1842,6390,28,845,0,0,0,0,0,0
2022-04,1호선,0158,청량리(서울시립대입구),942,21,10178,4619,14457,23104,33832,16671,44349,33672,28721,31484,28055,35143,34294,39402,39284,37611,39172,43070,40414,42917,44402,41587,53989,38298,49292,38538,40882,44690,22915,28791,16699,17636,12219,16500,8062,14186,2778,9417,56,1504,0,0,0,0,0,0
2022-04,1호선,0159,동묘앞,149,3,2621,836,3154,4384,5793,9172,9665,21300,7790,17137,9003,20342,13986,27882,20444,29783,26896,32676,30635,30347,33422,25596,35394,18779,30553,13884,22976,10276,10289,6781,5506,4546,4515,4438,3501,4960,1360,3651,12,2351,0,0,0,0,0,0
2022-04,2호선,0201,시청,77,1,988,1400,1761,15705,4548,57675,6822,192350,8446,72882,11191,24447,16750,21712,16776,21195,21008,22244,26438,20954,32005,17430,37816,14577,78752,17050,155523,17826,48049,8426,34668,4845,33194,4332,21813,3771,7420,3118,24,379,4,4,0,0,0,0
2022-04,2호선,0202,을지로입구,66,2,1861,2499,3101,24373,8341,104284,14244,280295,15031,125792,17657,57524,25630,50727,32059,43338,40757,41989,46792,37859,56576,33456,66283,35197,132232,40745,229675,43732,90911,24704,80846,13461,55680,12168,41804,11156,14539,7131,4,5501,0,0,1,0,0,0
2022-04,2호선,0203,을지로3가,6,0,790,1578,2010,17417,5510,61224,10148,151118,10957,62222,12551,28455,16475,23210,19012,21640,21943,23605,24897,21960,28135,19974,35183,22714,75516,28621,122292,35472,47649,21042,35547,10418,38702,8254,38756,6352,21496,4781,20,553,1,0,0,0,0,0
